"site","habitat_type","species","replicate","height_cm","leaf_area_cm2","biomass_g","chlorophyll_content","soil_moisture","soil_ph","temperature_C","light_intensity","nitrogen_ppm","phosphorus_ppm","potassium_ppm","growth_rate_cm_week"
"C","wetland","species3","1",43.86,22.35,2.75,46.32,0.806,5.54,20.29,308.9,37.38,12.56,35.99,2.11
"D","wetland","species3","1",50.33,50.51,11.82,45.74,0.785,5.83,19.92,417.5,22.75,14.99,35.62,6.899
"A","forest","species1","2",61.87,54.16,18.55,43.04,0.641,6.21,23.52,157.5,52.03,26.14,24.79,2.503
"B","forest","species1","2",68.23,56.93,16.75,45.74,0.607,6.43,21.15,50,48.71,23.84,37.11,5.412
"C","forest","species1","2",60.49,51.04,9.97,44.25,0.547,5.8,19.5,179.8,37.6,15.07,36.26,1.725
"D","forest","species1","2",54.06,47.57,13.69,47.87,0.695,6.72,19.39,409.2,33.55,16.81,36.87,5.73
"A","grassland","species1","2",70.77,66.35,19.72,42.63,0.511,5.78,23.56,665.1,43.48,19.1,27.29,3.543
"B","grassland","species1","2",41.35,27.79,9.97,45.16,0.474,5.29,20.89,684.7,34.53,18.76,29.96,4.736
"C","grassland","species1","2",45.51,36.87,13.71,43.52,0.41,6.37,19.55,670.6,22.15,8.3,33.73,4.266
"D","grassland","species1","2",47.29,65.78,2.49,39.22,0.475,6.44,19.85,627.8,22.43,15.05,26.19,0.581
"A","wetland","species1","2",55.11,33.21,11.77,42.8,0.775,5.97,21.42,522.5,42.56,18.37,35.95,3.45
"B","wetland","species1","2",45.26,39.16,6.43,32.29,0.83,6.17,20.7,500.2,48.02,22.14,34.79,3.755
"C","wetland","species1","2",43.61,20.51,11.98,39.59,0.659,5.69,19.2,338.4,33.85,19.57,27.16,1.482
"D","wetland","species1","2",44.38,37.63,16.43,36.01,0.824,5.53,19.44,430.6,22.19,14.94,34.5,5.85
"A","forest","species2","2",59.21,57.12,15.67,45.64,0.674,6.35,23.05,216.5,53.18,24.25,32.98,4.518
"B","forest","species2","2",62.52,26.48,17.25,53.03,0.563,6.79,19.85,196.1,43.02,14.9,37.44,4.466
"C","forest","species2","2",54.27,37.57,9.26,51.75,0.622,5.93,18.53,295.1,44.64,17.81,33.76,4.228
"D","forest","species2","2",67.05,76.18,18.73,50.05,0.636,5.89,18.46,139.9,39.72,20,33.55,4.828
"A","grassland","species2","2",60.76,40.87,12.11,45.31,0.432,6.12,22.07,673.6,38.36,27.81,36.91,3.213
"B","grassland","species2","2",58.96,32.93,10.42,44.01,0.428,5.98,21.3,581.3,29.69,10.42,25.89,4.584
"C","grassland","species2","2",50.15,44.69,11.14,44.09,0.372,6.01,19.35,463.5,27.57,11.05,27.23,3.181
"D","grassland","species2","2",61.02,41.58,11.31,44.41,0.482,6.06,21.04,593.4,31.62,13.95,38.37,4.183
"A","wetland","species2","2",57.03,60.46,23.13,38.79,0.898,5.41,23.44,399.3,49.35,25.22,33.3,7.19
"B","wetland","species2","2",50.94,51.58,13.18,42.62,0.878,4.82,19.83,287.8,29.69,12.56,25.64,4.843
"C","wetland","species2","2",48.72,46.97,6.86,40.61,0.734,5.88,18.62,419,33.49,21.22,39.3,1.913
"D","wetland","species2","2",54.55,29.39,10.21,44.11,0.774,5.78,18.74,457,20.44,5.53,34.61,4.32
"A","forest","species3","2",74.27,63.01,24.48,52.72,0.728,5.9,24.78,121.5,55.13,27.14,36.15,4.371
"B","forest","species3","2",46.19,40.76,4.8,52.35,0.58,5.91,21.88,294.3,42.53,18.56,32.68,5.728
"C","forest","species3","2",54.78,22.99,5.97,57.82,0.572,5.99,18.69,65.9,38,22.75,31.6,4.722
"D","forest","species3","2",59.07,53.54,15.05,48.03,0.659,7.06,20.97,309.4,34.18,16.57,41.77,6.248
"A","grassland","species3","2",62.73,53.19,19.3,49.22,0.376,6.04,23.53,652.9,39.49,20.64,41.57,4.21
"B","grassland","species3","2",47.51,27.42,0.5,52.18,0.426,6.71,19.56,692.5,40.49,21.94,28.64,5.07
"C","grassland","species3","2",29.3,21.35,6.79,46.46,0.309,5.99,19.75,503.2,25.12,15.66,33.4,1.612
"D","grassland","species3","2",53.1,62.96,22.64,50.09,0.377,6.46,20.6,632,24.8,12.16,33.28,4.866
"A","wetland","species3","2",53.91,50.97,13.51,48.44,0.95,6.44,21.74,307.7,50.67,30.79,30.38,5.349
"B","wetland","species3","2",40.05,19.27,12.77,42.22,0.72,5.97,21.61,522.6,34.57,12.51,32.85,2.681
"C","wetland","species3","2",36.72,30.29,7.75,42.84,0.703,5.71,19.22,275.6,31.28,18.08,36.15,2.279
"D","wetland","species3","2",48.28,56.09,7.11,40.67,0.738,6.46,17.94,417.4,31.76,16.71,36.61,3.207
"A","forest","species1","3",80.26,64.53,13.09,45.31,0.707,5.6,21.89,333.5,42.9,21.45,33.22,3.359
"B","forest","species1","3",58.94,42.04,9.71,43.69,0.556,6.6,21.93,101.8,36.52,17.28,39.63,2.97
"C","forest","species1","3",48.1,50.13,3.5,47.36,0.542,5.82,20.02,115.1,48.98,29.55,29.59,4.918
"D","forest","species1","3",70.52,51.76,15.93,38.67,0.646,5.9,20.47,120.8,33.92,16.46,35.83,8.34
"A","grassland","species1","3",57.81,43.94,8.19,41.51,0.509,6.56,23.33,720.9,38.43,20.25,32.68,3.806
"B","grassland","species1","3",45.85,45.24,11.42,40.01,0.483,6.11,19.18,604,34.73,19.26,32.41,4.035
"C","grassland","species1","3",38.76,48.8,4.95,40.81,0.278,5.87,17.63,528.7,33.16,16.82,29,4.89
"D","grassland","species1","3",49.63,31.45,7.6,43.9,0.424,5.14,19.59,773,34.06,21.32,29.38,3.021
"A","wetland","species1","3",66.68,51.05,19.08,39.07,0.93,6.42,23.67,593.9,41.51,25.51,33.45,5.595
"B","wetland","species1","3",51.53,40.54,14.62,38.76,0.855,6.43,21.62,441.3,38.77,20.42,28.82,5.77
"C","wetland","species1","3",45.68,45.49,21.07,37.13,0.776,5.36,18.61,457.8,33.5,20,35.13,5.578
"D","wetland","species1","3",50.73,55.99,11.26,40.61,0.842,6.48,19.59,347.4,27.41,12.66,40.07,5.404
"A","forest","species2","3",74.42,76.44,8.04,51.37,0.76,6.41,23.28,276.9,52.34,26.33,34.96,5.149
"B","forest","species2","3",65.95,50.48,9.97,49.94,0.661,5.93,21.15,323.9,51.26,23.72,32.84,2.793
"C","forest","species2","3",59.08,56.58,16.27,51.98,0.521,5.57,17.43,123.4,37.67,17.73,36.86,4.944
"D","forest","species2","3",66.78,44.68,14.4,47,0.614,7.05,21.38,220.3,36.55,12.62,31.35,3.72
"A","grassland","species2","3",69.77,50.44,20.59,47.57,0.394,6.16,22.14,486.8,34.05,14.18,23.86,6.541
"B","grassland","species2","3",54.17,31.37,16.75,43.26,0.388,5.83,21.44,561.4,36.89,25.53,31.3,7.438
"C","grassland","species2","3",51.28,30.02,21.96,44.42,0.333,5.4,21.43,578.2,22.41,11.36,30.91,4.143
"D","grassland","species2","3",53.51,48.72,13.09,44.53,0.356,6.09,20.76,643.9,12.42,9.14,39.2,3.789
"A","wetland","species2","3",69.92,63.27,15.48,41.31,0.89,6.71,22.42,361.3,40.5,14.52,28.29,5.91
"B","wetland","species2","3",58.96,49.34,10.5,34.68,0.841,6.1,21.5,360.6,33.43,16.87,34.71,5.763
"C","wetland","species2","3",37.94,22.73,8.4,41.02,0.839,5.3,17.38,292.7,37.17,26.59,28.29,4.156
"D","wetland","species2","3",53.92,46.1,13.88,40.65,0.869,5.28,18.94,436.7,28.66,10.14,38.28,5.927
"A","forest","species3","3",68.75,42.95,23.27,54.61,0.671,6.2,22.82,225.1,55.51,28.54,34.11,4.901
"B","forest","species3","3",58.41,29.17,15.78,56.9,0.699,6.21,18.94,195.7,43,20.09,36.36,5.162
"C","forest","species3","3",54.8,38.82,5.29,54.26,0.502,6.21,17.3,103,40.97,21.1,31.97,2.589
"D","forest","species3","3",56.77,41.3,6.51,49.57,0.648,6.03,20.91,287.8,24.05,10.35,36.68,5.864
"A","grassland","species3","3",51.97,32.08,3.47,49.01,0.428,6.48,23.53,595.9,37.92,19.78,30.07,2.332
"B","grassland","species3","3",49.51,19.56,15.98,43.55,0.312,6.39,21.49,681.9,35.16,14.5,26.86,2.997
"C","grassland","species3","3",35.3,24,0.5,48.92,0.262,5.97,18.71,651.7,29.56,12.07,25.9,4.526
"D","grassland","species3","3",54.18,48.67,8.95,42.87,0.41,6.3,22.35,609.4,18.19,6.31,32.07,4.107
"A","wetland","species3","3",58.51,54.67,6.9,48.49,0.874,6.17,22.47,513.8,40.1,16.17,35.62,5.895
"B","wetland","species3","3",35.47,44.33,13.29,48.42,0.818,5.55,21.28,488.1,30.77,13.44,36.64,2.758
"C","wetland","species3","3",44.69,36.17,17.16,46.6,0.743,6.18,18.69,373.4,34.77,16.16,36.1,2.983
"D","wetland","species3","3",46.88,60.27,13.86,48.61,0.826,6.39,20.44,569.4,39.83,19.39,27.72,3.282
"A","forest","species1","4",64.63,56.23,9.8,40.71,0.648,6.55,21.75,377.9,54.71,29.39,30.39,4.711
"B","forest","species1","4",60.23,46.61,11.87,48.14,0.556,5.76,21.2,145.2,41.75,17.34,40.5,3.765
"C","forest","species1","4",59.4,28.22,14.4,45.08,0.51,5.59,20.23,124.2,48.24,17.43,36.31,4.88
"D","forest","species1","4",68.83,79.36,16.55,46.25,0.636,5.94,21.51,340,39.38,19.43,31.75,7.109
"A","grassland","species1","4",54,57.3,5.95,43.53,0.533,6.42,21.3,705.5,38.36,22.05,28.71,3.952
"B","grassland","species1","4",47.81,44.59,9.09,39.6,0.403,6.67,21.72,752.4,37.63,13.92,30.12,2.989
"C","grassland","species1","4",45.73,47.77,16.11,47.13,0.463,5.73,18.83,598.7,14.61,7.94,33.36,4.737
"D","grassland","species1","4",53.33,53.11,6.36,37.14,0.373,5.22,21.03,526.3,27.66,20.45,30.1,2.447
"A","wetland","species1","4",54.77,52.41,15.91,38.78,0.867,6.44,21.73,466,41.78,20.9,30.4,5.194
"B","wetland","species1","4",35.29,37.65,5.34,40.63,0.809,6.25,18.51,373.3,33.97,17.31,25.74,1.503
"C","wetland","species1","4",40.61,43.11,9.58,33.25,0.738,5.09,18.93,419.5,32.69,14.18,34.91,3.907
"D","wetland","species1","4",44.09,28.37,12.33,32.64,0.863,6.08,20.59,297.5,27.27,13.35,31.34,2.516
"A","forest","species2","4",73.17,55.85,17.4,47.18,0.587,6.5,22.08,358.5,49.11,24.85,24.21,4.387
"B","forest","species2","4",58.81,48.22,20.73,45.74,0.593,6.05,19.95,254.4,36.44,23.4,32.63,4.525
"C","forest","species2","4",57.41,37.37,5.39,50.73,0.551,4.93,18.83,135.4,36.51,16.26,29.39,3.389
"D","forest","species2","4",62.29,71.59,15.29,52.02,0.663,6.53,19.04,305.8,37.84,15.97,37.62,4.22
"A","grassland","species2","4",62.96,37.12,17.59,41.83,0.41,6.29,22.58,740.1,41.61,16.48,25.31,2.73
"B","grassland","species2","4",53.11,43.91,11.49,44.17,0.258,5.39,20.78,532,32,15.01,29.62,7.382
"C","grassland","species2","4",56.64,37.37,9.12,42.26,0.404,5.79,19.16,632.9,31.85,16.94,31.81,3.267
"D","grassland","species2","4",61.58,50.16,23.29,42.09,0.469,6.02,18.92,640.9,24.53,6.99,29.24,6.489
"A","wetland","species2","4",60.84,50.36,18.3,39.73,0.903,5.61,24.11,354.7,51.17,30.37,33.1,4.333
"B","wetland","species2","4",45.87,36.21,15.06,40.01,0.79,6.8,20.57,466.9,39.55,19.51,31.53,5.132
"C","wetland","species2","4",52.24,10.84,5.6,41.29,0.623,5.71,18.25,281.5,42.32,21.34,31.39,3.432
"D","wetland","species2","4",47.82,13.29,7.92,39.94,0.836,6.55,18.86,556.7,20.24,10.27,30.92,5.113
"A","forest","species3","4",60.09,55.28,3.38,58.64,0.726,5.91,22.46,228.2,50.96,28.95,38,3.79
"B","forest","species3","4",52.12,32.77,13,51.12,0.575,5.51,21.04,240.5,42.17,22.79,33.05,6.528
"C","forest","species3","4",46.14,37.88,1.1,54.3,0.513,5.63,19.59,190.3,38.54,16.28,41.87,4.733
"D","forest","species3","4",54.48,51.59,2.3,54.75,0.618,6.14,20.7,356.7,38.39,19.67,31.01,2.422
"A","grassland","species3","4",64.44,49.87,17.24,52.26,0.458,6.2,23.94,740.4,41.89,27.29,29.63,5.466
"B","grassland","species3","4",47.47,30.83,2.32,48.81,0.386,5.2,21.79,471.9,33.82,21.17,31.64,4.436
"C","grassland","species3","4",39.42,29.27,5.99,47.01,0.387,5.39,20.1,602.7,27.67,16.3,30.35,3.775
"D","grassland","species3","4",54.36,59.57,13.72,51.21,0.482,6.38,19.63,562.6,24.93,14.16,30.97,4.372
"A","wetland","species3","4",55.99,60.39,11.8,46.08,0.811,6.05,22.63,465.1,46.8,20,40.22,3.992
"B","wetland","species3","4",38.9,50.58,11.71,50.65,0.813,5.81,20.77,386.1,40.85,19.07,27.4,5.077
"C","wetland","species3","4",37.2,44.76,3.46,43.18,0.753,5.05,20.03,422.8,37.14,21.43,27.73,3.467
"D","wetland","species3","4",50.67,24.6,8.8,47.49,0.763,5.9,19.53,482.3,21.44,12.78,32.01,2.459
"A","forest","species1","5",77.75,43.65,11.41,43.05,0.72,5.75,23.31,190.1,51.18,22.36,29.51,6.794
"B","forest","species1","5",65.91,53.38,7.82,50.5,0.621,6.42,20.6,185.8,41.26,19.94,44.41,2.742
"C","forest","species1","5",57.19,43.97,12.41,41.13,0.607,5.44,19.33,287.2,44.13,26.51,34.86,5.725
"D","forest","species1","5",60.93,33.97,11.5,47.81,0.593,6.15,20.53,262.3,31.44,17.88,27.74,4.335
"A","grassland","species1","5",51.37,21.15,14.14,43.05,0.439,6.58,22.71,561.3,35.77,20.7,29.61,3.514
"B","grassland","species1","5",46.35,49.55,4.61,37.15,0.388,5.94,19.59,570.9,39.59,16.62,31.25,3.846
"C","grassland","species1","5",43.92,51.84,6.55,37.12,0.379,5.54,18.56,473.3,32.03,15.16,27.5,2.769
"D","grassland","species1","5",55.45,47,23.52,41.78,0.432,6.69,21.51,570.4,16.03,8.12,28.36,2.995
"A","wetland","species1","5",57.3,47.55,14.28,37.37,0.918,6.19,23.75,345.2,46.91,20.16,33.17,5.858
"B","wetland","species1","5",47.29,36.61,12.44,35.14,0.784,5.86,20.89,392.8,35.25,19.81,38.08,3.402
"C","wetland","species1","5",51.19,36.01,6.06,39.33,0.74,5.38,19.37,216.6,33.5,17.46,22.98,2.75
"D","wetland","species1","5",51.94,27.65,21.26,39.22,0.78,5.86,19.55,364.5,36.39,20.49,38.49,4.452
"A","forest","species2","5",71.6,55.23,21.65,50.23,0.635,6.79,22.45,248.7,54.01,26.59,37.69,6.074
"B","forest","species2","5",60.86,38.2,20.66,50.44,0.58,5.67,19.65,239.7,35.36,17.52,35.62,4.435
"C","forest","species2","5",58.48,48.69,16.91,48.89,0.64,5.79,19.54,264.1,34.07,19.29,35.92,5.158
"D","forest","species2","5",61.93,56.62,13.29,52.41,0.564,6.5,17.98,213.9,37.11,13.74,34.65,3.484
"A","grassland","species2","5",71.84,54.56,13.51,49.74,0.502,6.55,21.93,629.9,42.64,23.23,27.67,4.5
"B","grassland","species2","5",53.56,57.69,7.45,47.58,0.459,6.04,20.22,593.3,36.01,18.05,33.46,1.341
"C","grassland","species2","5",47.36,54.64,12.14,43.54,0.307,6.19,21.28,553.8,32.01,14.94,21.88,2.181
"D","grassland","species2","5",53.63,55.28,8.53,48.92,0.383,5.55,21.39,622.5,24.23,11.33,33.17,3.599
"A","wetland","species2","5",66.68,39.22,16.04,42.13,0.832,6.43,22.44,316.5,43.95,21.17,38.43,5.724
"B","wetland","species2","5",45.61,21.07,10.37,42.67,0.831,5.62,19.9,335.7,37.03,20.54,33.8,4.41
"C","wetland","species2","5",44.66,36.49,11.72,38.92,0.729,5.35,20.31,303.8,33.1,16.83,33.1,3.778
"D","wetland","species2","5",56.56,46.83,11.23,43.71,0.765,6.32,20.2,305,25.06,12.23,40.6,3.434
"A","forest","species3","5",65.46,59.1,15.71,54.7,0.707,6.68,22.69,275.8,46.72,18.97,40.21,6.935
"B","forest","species3","5",57.25,31.11,8.51,47.59,0.606,6.16,21.01,300.2,45.04,19.57,38.22,2.004
"C","forest","species3","5",44.42,32.78,4.79,56.71,0.491,5.73,20.39,72.3,37.45,16.08,32.71,2.41
"D","forest","species3","5",56.85,49,10.9,58.78,0.662,6.59,20.68,212.3,34.17,18.08,40.11,3.326
"A","grassland","species3","5",49.48,22.94,5.74,49.62,0.441,6.24,22.68,701,35.13,15.91,33.09,2.022
"B","grassland","species3","5",43.79,36.9,10.35,52.14,0.407,6.14,21.26,694.2,36.37,22.14,32.18,4.414
"C","grassland","species3","5",48.74,58.02,18.14,48.61,0.326,6.05,19.67,505.3,34.67,19.39,31.67,4.512
"D","grassland","species3","5",52.26,26.62,10.56,44.76,0.464,5.89,20.86,556.3,18.22,11.19,31.81,4.006
"A","wetland","species3","5",55.43,57.65,14.28,44.17,0.813,6.84,21.72,411.9,47.35,17.55,39.64,5.022
"B","wetland","species3","5",40.33,42.78,4.3,47.53,0.79,5.81,19.37,485.7,34.31,17.98,31.7,3.08
"C","wetland","species3","5",37.22,40.32,11.64,43.6,0.803,5.97,19.93,353.5,33.67,15.52,34.47,3.333
"D","wetland","species3","5",42.92,48.65,8.75,48.49,0.894,6.43,19.21,446.1,22.46,11.02,30.95,1.155
